Team,Season,GP,Shots,SAT For,SAT Agst,SAT,SAT Tied,SAT Ahead,SAT Behind,SAT Close,USAT For,USAT Agst,USAT,USAT Tied,USAT Ahead,USAT Behind,USAT Close
Winnipeg Jets,20202021,56,1279,2326,2489,-163,-128,-101,66,-173,1743,1866,-123,-103,-36,16,-129
St. Louis Blues,20202021,56,1238,2224,2425,-201,13,-164,-50,-66,1640,1803,-163,0,-99,-64,-75
Los Angeles Kings,20202021,56,1227,2227,2429,-202,1,-144,-59,-89,1706,1838,-132,24,-59,-97,-34
San Jose Sharks,20202021,56,1289,2357,2562,-205,-117,-52,-36,-159,1784,1911,-127,-89,-6,-32,-113
New York Rangers,20202021,56,1234,2172,2421,-249,-101,-164,17,-134,1672,1824,-152,-69,-67,-15,-64
Buffalo Sabres,20202021,56,1297,2271,2604,-333,-106,-124,-103,-212,1783,2077,-294,-91,-82,-121,-171
Columbus Blue Jackets,20202021,56,1339,2327,2680,-353,-142,-150,-61,-324,1791,2018,-227,-91,-71,-65,-215
Minnesota Wild,20202021,56,1213,2182,2537,-355,-143,-139,-73,-159,1686,1882,-196,-79,-60,-57,-64
Vancouver Canucks,20202021,56,1292,2313,2685,-372,-2,-199,-171,-171,1754,2006,-252,11,-113,-150,-100
Chicago Blackhawks,20202021,56,1249,2216,2613,-397,-141,-155,-101,-211,1605,1963,-358,-113,-103,-142,-181
Detroit Red Wings,20202021,56,1196,2090,2508,-418,-191,-68,-160,-254,1597,1926,-329,-131,-36,-163,-185
