Team,Season,GP,P,P%,GF,GA,GF%,SAT%,SAT% Ahead,SAT% Tied,SAT% Behind,SAT% Close,USAT %,USAT% Ahead,USAT% Tied,USAT% Behind,USAT% Close,5v5 OZ%,5v5 S%,5v5 Sv%,5v5 S%+Sv%
San Jose Sharks,20202021,56,49,0.438,520,665,43.9,47.9,48.1,46.6,49,47.3,48.3,49.7,46.6,48.8,47.4,45.1,8.1,90.3,98.4
Los Angeles Kings,20202021,56,49,0.438,470,585,44.6,47.8,43.9,50.1,48.6,48.3,48.1,46.8,51.2,47,49.1,49.9,7.7,91.1,98.7
St. Louis Blues,20202021,56,63,0.563,510,549,48.2,47.8,44.9,50.4,48.2,48.9,47.6,45.9,50,47,48.2,51,8.2,91.5,99.8
New York Rangers,20202021,56,60,0.536,575,515,52.8,47.3,45.4,46.5,50.5,47.5,47.8,47.5,46.8,49.2,48.4,50.4,9.3,92.1,101.4
Buffalo Sabres,20202021,56,37,0.33,435,685,38.8,46.6,43.3,46.8,47.8,46.4,46.2,44.5,46.5,46.7,46.3,48.1,6.7,91.1,97.8
Columbus Blue Jackets,20202021,56,48,0.429,480,650,42.5,46.5,43.8,46.7,48.1,45.4,47,46.2,47.2,47.4,45.9,49.1,7.2,91.3,98.5
Vancouver Canucks,20202021,56,50,0.446,515,655,44,46.3,43.7,49.9,46,47,46.6,45.2,50.6,45.4,47.6,45.7,8,91.1,99.1
Minnesota Wild,20202021,56,75,0.67,625,540,53.7,46.2,46,45.6,47.3,47.1,47.3,47.7,46.8,47.2,48.4,44.8,10.3,91.9,102.2
Chicago Blackhawks,20202021,56,55,0.491,500,620,44.6,45.9,44,46,47.2,46.6,45,44.6,45.6,44.8,46,47,8,91.7,99.7
Detroit Red Wings,20202021,56,48,0.429,435,555,43.9,45.4,47.1,44.7,45,45.7,45.3,47.9,45.3,43.3,45.9,46.1,7.3,92.2,99.4
